N	K	TruePrice	CM	FST	COS	SET
4096	92	17.4559	17.4559	17.4559	17.4559	2
4096	92.8	16.8097	16.8097	16.8096	16.8097	2
4096	93.6	16.1705	16.1705	16.1706	16.1705	2
4096	94.4	15.5389	15.5389	15.539	15.5389	2
4096	95.2	14.9154	14.9154	14.9153	14.9154	2
4096	96	14.3003	14.3003	14.3003	14.3003	2
4096	96.8	13.6942	13.6942	13.6943	13.6942	2
4096	97.6	13.0976	13.0976	13.0976	13.0976	2
4096	98.4	12.5111	12.5111	12.511	12.5111	2
4096	99.2	11.935	11.935	11.9351	11.935	2
4096	100	11.37	11.37	11.3701	11.37	2
4096	100.8	10.8166	10.8166	10.8166	10.8166	2
4096	101.6	10.2752	10.2752	10.2751	10.2752	2
4096	102.4	9.74633	9.74633	9.74612	9.74633	2
4096	103.2	9.23048	9.23049	9.23037	9.23048	2
4096	104	8.72812	8.72812	8.72812	8.72812	2
4096	104.8	8.23967	8.23967	8.23974	8.23967	2
4096	105.6	7.76555	7.76555	7.76566	7.76555	2
4096	106.4	7.30614	7.30615	7.30628	7.30614	2
4096	107.2	6.86181	6.86181	6.86196	6.86181	2
4096	108	6.43287	6.43287	6.43303	6.43287	2
4096	108.8	6.0196	6.01962	6.01977	6.0196	2
4096	109.6	5.62225	5.62226	5.62241	5.62225	2
4096	110.4	5.24099	5.24099	5.24116	5.24099	2
4096	111.2	4.87599	4.876	4.87616	4.87599	2
4096	112	4.52732	4.52734	4.52749	4.52732	2
4096	112.8	4.19504	4.19505	4.19519	4.19504	2
4096	113.6	3.87913	3.87913	3.87923	3.87913	2
4096	114.4	3.57952	3.57954	3.57953	3.57952	2
4096	115.2	3.29608	3.2961	3.29596	3.29608	2
4096	116	3.02863	3.02863	3.0283	3.02863	2
4096	116.8	2.77694	2.77695	2.77678	2.77694	2
4096	117.6	2.54071	2.54073	2.54074	2.54071	2
4096	118.4	2.31959	2.31961	2.31975	2.31959	2
4096	119.2	2.1132	2.1132	2.11337	2.1132	2
4096	120	1.92109	1.9211	1.92116	1.92109	2
8192	80	27.7284	27.7284	27.7284	27.7284	2
8192	80.8	27.0212	27.0212	27.0212	27.0212	2
8192	81.6	26.316	26.316	26.316	26.316	2
8192	82.4	25.613	25.613	25.613	25.613	2
8192	83.2	24.9126	24.9126	24.9126	24.9126	2
8192	84	24.2149	24.2149	24.2149	24.2149	2
8192	84.8	23.5202	23.5202	23.5203	23.5202	2
8192	85.6	22.8289	22.8289	22.8289	22.8289	2
8192	86.4	22.1411	22.1411	22.1411	22.1411	2
8192	87.2	21.4572	21.4572	21.4572	21.4572	2
8192	88	20.7776	20.7776	20.7776	20.7776	2
8192	88.8	20.1025	20.1025	20.1025	20.1025	2
8192	89.6	19.4324	19.4324	19.4324	19.4324	2
8192	90.4	18.7677	18.76
